╔══════════════════════════════════════════════════════════╗
║  岱境235 金融数据流转压测 — tidb_adapter.go 直压          ║
╠══════════════════════════════════════════════════════════╣
║  并发: 20  goroutine    持续: 15m0s             ║
║  目标: MySQL (tidb_adapter → batch INSERT → InnoDB)       ║
╚══════════════════════════════════════════════════════════╝

时间               总发送         TPS       成功/失败     Avg延迟     P99延迟    吞吐MB/s
107s        81797642      715422  81797902/0           10µs       0µs     70.32
108s        82463240      665598  82463489/0           14µs       0µs     70.23
109s        83196216      732976  83196841/0            6µs       0µs     70.21
110s        83956968      760752  83957541/0            7µs       0µs     70.22
111s        84827773      870805  84828365/0            7µs       0µs     70.31
112s        85619271      791498  85619281/0           10µs       0µs     70.33
113s        86320629      701358  86320859/0           15µs       0µs     70.29
114s        87181245      860616  87181394/0            7µs       0µs     70.37
115s        88011786      830541  88013973/0           18µs       0µs     70.42
116s        88724634      712848  88724732/0           17µs       0µs     70.39
117s        89516304      791670  89516907/0           11µs       0µs     70.41
118s        90168956      652652  90168956/0           14µs       0µs     70.32
119s        90960322      791366  90960900/0            7µs       0µs     70.35
120s        91637038      676716  91637321/0            9µs       0µs     70.28
121s        92369122      732084  92369341/0            7µs       0µs     70.26
122s        93017405      648283  93018905/0            7µs       0µs     70.18
123s        93759631      742226  93759698/0            9µs       0µs     70.17
124s        94593590      833959  94594401/0            5µs       0µs     70.22
125s        95348839      755249  95349381/0           14µs       0µs     70.22
126s        96048235      699396  96048738/0            8µs       0µs     70.18
127s        96833981      785746  96834426/0            9µs       0µs     70.20
128s        97484292      650311  97484567/0            8µs       0µs     70.12
129s        98265417      781125  98265728/0            7µs       0µs     70.13
130s        99086254      820837  99087976/0           12µs       0µs     70.16
131s        99864199      777945  99864618/0           10µs       0µs     70.19
132s       100649801      785602  100649799/0           14µs       0µs     70.21
133s       101337637      687836  101337646/0           12µs       0µs     70.15
134s       102034758      697121  102039305/0            6µs       0µs     70.12
135s       102797434      762676  102797434/0            7µs       0µs     70.12
136s       103532789      735355  103532905/0            8µs       0µs     70.11
137s       104285786      752997  104285786/0            6µs       0µs     70.10
138s       104953962      668176  104955976/0           25µs       0µs     70.04
139s       105714166      760204  105714628/0            8µs       0µs     70.05
140s       106459454      745288  106459978/0            6µs       0µs     70.04
141s       107230029      770575  107230853/0           10µs       0µs     70.04
142s       108023095      793066  108023369/0           15µs       0µs     70.07
143s       108739801      716706  108739801/0            7µs       0µs     70.04
144s       109522241      782440  109522406/0            8µs       0µs     70.06
145s       110350773      828532  110351129/0            8µs       0µs     70.10
146s       110988314      637541  110991464/0            8µs       0µs     70.02
147s       111652492      664178  111652490/0           12µs       0µs     69.96
148s       112318506      666014  112319060/0           12µs       0µs     69.91
149s       113087709      769203  113087935/0            7µs       0µs     69.92
150s       113910040      822331  113910254/0            8µs       0µs     69.96
151s       114607039      696999  114609128/0           11µs       0µs     69.92
152s       115160252      553213  115160252/0            8µs       0µs     69.80
153s       115771946      611694  115771946/0            9µs       0µs     69.71
154s       116352173      580227  116353278/0            8µs       0µs     69.61
155s       117197939      845766  117198408/0            5µs       0µs     69.67
156s       117923804      725865  117925018/0           13µs       0µs     69.65
157s       118766707      842903  118769143/0            9µs       0µs     69.71
158s       119599641      832934  119600144/0            5µs       0µs     69.75
159s       120384834      785193  120384909/0            8µs       0µs     69.77
160s       121201036      816202  121201079/0            6µs       0µs     69.81
161s       122035997      834961  122035998/0           10µs       0µs     69.84
162s       122780216      744219  122781526/0           29µs       0µs     69.85
163s       123622748      842532  123624134/0            8µs       0µs     69.90
164s       124526512      903764  124527524/0            4µs       0µs     69.98
165s       125514154      987642  125514917/0            8µs       0µs     70.11
166s       126351497      837343  126351873/0            6µs       0µs     70.15
167s       127225222      873725  127225211/0            6µs       0µs     70.21
168s       128065909      840687  128066098/0            6µs       0µs     70.26
169s       128950904      884995  128954411/0           10µs       0µs     70.33
170s       129922108      971204  129923752/0            9µs       0µs     70.44
171s       130947256     1025148  130950182/0            8µs       0µs     70.59
172s       131814355      867099  131814461/0            6µs       0µs     70.64
173s       132444352      629997  132444352/0           17µs       0µs     70.57
174s       133043313      598961  133044971/0           26µs       0µs     70.48
175s       133706263      662950  133706724/0            5µs       0µs     70.43
176s       134538328      832065  134539026/0            5µs       0µs     70.47
177s       135371664      833336  135372241/0            7µs       0µs     70.51
178s       136261936      890272  136263292/0            6µs       0µs     70.57
179s       137085782      823846  137085771/0           12µs       0µs     70.60
180s       137846803      761021  137846925/0            9µs       0µs     70.60
181s       138609027      762224  138610806/0           14µs       0µs     70.58
182s       139356741      747714  139357213/0           11µs       0µs     70.60
183s       140224645      867904  140225508/0            6µs       0µs     70.65
184s       141238079     1013434  141238576/0            4µs       0µs     70.77
185s       142079931      841852  142080275/0            7µs       0µs     70.81
186s       142837125      757194  142838030/0           24µs       0µs     70.81
187s       143668255      831130  143668814/0            5µs       0µs     70.84
188s       144597909      929654  144598124/0            6µs       0µs     70.92
189s       145464776      866867  145464870/0            9µs       0µs     70.97
190s       146296928      832152  146297202/0            7µs       0µs     71.00
191s       147221187      924259  147221377/0            5µs       0µs     71.08
192s       148093383      872196  148093713/0           16µs       0µs     71.13
193s       148985293      891910  148985855/0            6µs       0µs     71.19
194s       149979416      994123  149979895/0            3µs       0µs     71.29
195s       150888065      908649  150888358/0            5µs       0µs     71.36
196s       151840818      952753  151840818/0            8µs       0µs     71.44
197s       152642395      801577  152643262/0           14µs       0µs     71.45
198s       153504560      862165  153505052/0            5µs       0µs     71.50
199s       154394928      890368  154395306/0            5µs       0µs     71.55
200s       155243062      848134  155243457/0            9µs       0µs     71.59
201s       156149368      906306  156149365/0            8µs       0µs     71.65
202s       157064103      914735  157064615/0            8µs       0µs     71.72
203s       157964198      900095  157964545/0            6µs       0µs     71.77
204s       158798687      834489  158799061/0            7µs       0µs     71.80
205s       159691934      893247  159692287/0           12µs       0µs     71.85
206s       160474697      782763  160476880/0            6µs       0µs     71.85
207s       161323941      849244  161324470/0            5µs       0µs     71.89
208s       162175224      851283  162175336/0           11µs       0µs     71.92
209s       163123168      947944  163123260/0            8µs       0µs     71.99
210s       164133393     1010225  164133606/0            4µs       0µs     72.10
211s       164943986      810593  164944499/0            7µs       0µs     72.11
212s       165770832      826846  165771699/0            9µs       0µs     72.13
213s       166696968      926136  166697300/0            6µs       0µs     72.19
214s       167610376      913408  167611206/0           15µs       0µs     72.25
215s       168541117      930741  168542075/0            6µs       0µs     72.32
216s       169323477      782360  169325358/0           12µs       0µs     72.32
217s       169702528      379051  169702528/0           17µs       0µs     72.14
218s       170327825      625297  170328179/0           11µs       0µs     72.08
219s       170604936      277111  170604936/0           65µs       0µs     71.87
220s       171361305      756369  171361584/0            7µs       0µs     71.86
221s       171853768      492463  171853840/0           15µs       0µs     71.74
222s       172410313      556545  172410901/0           15µs       0µs     71.65
223s       173035133      624820  173035214/0            9µs       0µs     71.59
224s       173643035      607902  173643332/0            8µs       0µs     71.52
225s       174230461      587426  174231302/0           10µs       0µs     71.44
226s       174773035      542574  174779401/0            8µs       0µs     71.35
227s       175427426      654391  175427804/0            8µs       0µs     71.30
228s       176123294      695868  176123548/0            6µs       0µs     71.27
229s       176841200      717906  176841502/0            8µs       0µs     71.25
230s       177602995      761795  177603215/0           10µs       0µs     71.24
231s       178313995      711000  178318462/0            9µs       0µs     71.22
232s       179022646      708651  179022823/0            7µs       0µs     71.20
233s       179616452      593806  179616452/0            8µs       0µs     71.13
