╔══════════════════════════════════════════════════════════╗
║  岱境235 金融数据流转压测 — tidb_adapter.go 直压          ║
╠══════════════════════════════════════════════════════════╣
║  并发: 20  goroutine    持续: 15m0s             ║
║  目标: MySQL (tidb_adapter → batch INSERT → InnoDB)       ║
╚══════════════════════════════════════════════════════════╝

时间               总发送         TPS       成功/失败     Avg延迟     P99延迟    吞吐MB/s
465s       360687913      969192  360687959/0            6µs       0µs     72.32
466s       361556637      868724  361556776/0            9µs       0µs     72.34
467s       362253842      697205  362254256/0            7µs       0µs     72.33
468s       362995531      741689  362995597/0           18µs       0µs     72.32
469s       363818974      823443  363819101/0            4µs       0µs     72.33
470s       364697084      878110  364697519/0           15µs       0µs     72.35
471s       365246592      549508  365246592/0           16µs       0µs     72.31
472s       365724853      478261  365725035/0           17µs       0µs     72.26
473s       366194906      470053  366195021/0            8µs       0µs     72.20
474s       366786817      591911  366788519/0            9µs       0µs     72.16
475s       367286488      499671  367288025/0           28µs       0µs     72.11
476s       367852549      566061  367852549/0            7µs       0µs     72.07
477s       368235933      383384  368236038/0           82µs       0µs     71.97
478s       368539512      303579  368540205/0           17µs       0µs     71.90
479s       368980218      440706  368980218/0           15µs       0µs     71.82
480s       369402058      421840  369402058/0           12µs       0µs     71.76
481s       369913057      510999  369913057/0           11µs       0µs     71.72
482s       370205397      292340  370205397/0           32µs       0µs     71.63
483s       370798566      593169  370798552/0           19µs       0µs     71.60
484s       371430234      631668  371430234/0           15µs       0µs     71.58
485s       372209528      779294  372209705/0            8µs       0µs     71.58
486s       372885980      676452  372890937/0           11µs       0µs     71.56
487s       373419994      534014  373420279/0           12µs       0µs     71.52
488s       374020912      600918  374021306/0            6µs       0µs     71.49
489s       374623169      602257  374623205/0           15µs       0µs     71.46
490s       375231838      608669  375231918/0           10µs       0µs     71.43
491s       375864026      632188  375864480/0            8µs       0µs     71.41
492s       376364172      500146  376364165/0           11µs       0µs     71.35
493s       376886334      522162  376886820/0           16µs       0µs     71.31
494s       377568336      682002  377568452/0           21µs       0µs     71.30
495s       378298693      730357  378300389/0            5µs       0µs     71.30
496s       378936164      637471  378937998/0           14µs       0µs     71.27
497s       379372633      436469  379372677/0           12µs       0µs     71.21
498s       379940779      568146  379940762/0           23µs       0µs     71.18
499s       380396425      455646  380398858/0           40µs       0µs     71.11
500s       381025211      628786  381025474/0            8µs       0µs     71.10
501s       381728378      703167  381728817/0            8µs       0µs     71.09
502s       382436973      708595  382442086/0           10µs       0µs     71.08
503s       383020412      583439  383024818/0           27µs       0µs     71.05
504s       383722220      701808  383722753/0            8µs       0µs     71.04
505s       384436614      714394  384436634/0            7µs       0µs     71.03
506s       385052688      616074  385052778/0           12µs       0µs     71.01
507s       385440012      387324  385440264/0            7µs       0µs     70.94
508s       386087015      647003  386087152/0           16µs       0µs     70.92
509s       386661165      574150  386661807/0           11µs       0µs     70.89
510s       387373162      711997  387375063/0            7µs       0µs     70.88
511s       388103444      730282  388103562/0           16µs       0µs     70.88
512s       388610380      506936  388610447/0           18µs       0µs     70.83
513s       389227104      616724  389227524/0            8µs       0µs     70.81
514s       389919597      692493  389920350/0           11µs       0µs     70.80
515s       390580302      660705  390580530/0           21µs       0µs     70.78
516s       391131873      551571  391131873/0           53µs       0µs     70.74
517s       391616945      485072  391618131/0           11µs       0µs     70.69
518s       392232359      615414  392232493/0           16µs       0µs     70.67
519s       392772568      540209  392772773/0           11µs       0µs     70.63
520s       393369407      596839  393369819/0            8µs       0µs     70.60
521s       394068701      699294  394068701/0            9µs       0µs     70.59
522s       394673515      604814  394673767/0           32µs       0µs     70.57
523s       395357738      684223  395358609/0            6µs       0µs     70.56
524s       396043151      685413  396043438/0            6µs       0µs     70.55
525s       396645059      601908  396645194/0            8µs       0µs     70.52
526s       397304021      658962  397304010/0            8µs       0µs     70.51
527s       397780105      476084  397783667/0           34µs       0µs     70.45
528s       398465542      685437  398466604/0            8µs       0µs     70.45
529s       399085779      620237  399086118/0           14µs       0µs     70.42
530s       399814358      728579  399814417/0            5µs       0µs     70.42
531s       400506399      692041  400506758/0           13µs       0µs     70.41
532s       401147008      640609  401151434/0           10µs       0µs     70.39
533s       401820513      673505  401820544/0           14µs       0µs     70.38
534s       402494473      673960  402494615/0            4µs       0µs     70.37
535s       403062237      567764  403065945/0           34µs       0µs     70.33
536s       403639155      576918  403639201/0           20µs       0µs     70.31
537s       404104290      465135  404104289/0           18µs       0µs     70.26
538s       404702527      598237  404703125/0           16µs       0µs     70.23
539s       405360207      657680  405360677/0           11µs       0µs     70.22
540s       405956333      596126  405956333/0            9µs       0µs     70.19
541s       406481002      524669  406481399/0           25µs       0µs     70.15
542s       407068669      587667  407069197/0            7µs       0µs     70.12
543s       407576987      508318  407577019/0           29µs       0µs     70.08
544s       408280539      703552  408281052/0           15µs       0µs     70.08
545s       409073493      792954  409073686/0           11µs       0µs     70.09
546s       409750789      677296  409751180/0            7µs       0µs     70.08
547s       410380484      629695  410381562/0            8µs       0µs     70.06
548s       411137173      756689  411137173/0           16µs       0µs     70.06
549s       411867852      730679  411867865/0           10µs       0µs     70.05
550s       412555266      687414  412555525/0           14µs       0µs     70.05
551s       413330326      775060  413330470/0            8µs       0µs     70.05
552s       414031930      701604  414032126/0           11µs       0µs     70.05
553s       414770555      738625  414770648/0           11µs       0µs     70.04
554s       415435284      664729  415435582/0            9µs       0µs     70.03
555s       416186790      751506  416186929/0            9µs       0µs     70.03
556s       416912333      725543  416912321/0           12µs       0µs     70.03
557s       417476001      563668  417476001/0            9µs       0µs     70.00
558s       418100297      624296  418100396/0           17µs       0µs     69.98
559s       418705478      605181  418705478/0           20µs       0µs     69.96
560s       419357103      651625  419357362/0            7µs       0µs     69.94
561s       420101411      744308  420101948/0           10µs       0µs     69.94
562s       420834783      733372  420835232/0            6µs       0µs     69.94
563s       421437201      602418  421437737/0           14µs       0µs     69.92
564s       422176332      739131  422177010/0            5µs       0µs     69.92
565s       422874489      698157  422875025/0            8µs       0µs     69.91
566s       423568875      694386  423569304/0           10µs       0µs     69.90
567s       424238954      670079  424239119/0            6µs       0µs     69.89
568s       424940028      701074  424942217/0           22µs       0µs     69.88
569s       425643895      703867  425643895/0           11µs       0µs     69.88
570s       426282606      638711  426282736/0            6µs       0µs     69.86
571s       427058636      776030  427059384/0           11µs       0µs     69.87
572s       427745781      687145  427746051/0           12µs       0µs     69.86
573s       428439731      693950  428440374/0            7µs       0µs     69.85
574s       429082640      642909  429087458/0           16µs       0µs     69.84
575s       429758161      675521  429758480/0            8µs       0µs     69.83
576s       430488334      730173  430488334/0           28µs       0µs     69.82
577s       431069509      581175  431069990/0           10µs       0µs     69.80
578s       431797903      728394  431799165/0           10µs       0µs     69.79
579s       432529549      731646  432529829/0           10µs       0µs     69.80
580s       433222273      692724  433224624/0            8µs       0µs     69.79
581s       433927297      705024  433927498/0            9µs       0µs     69.78
582s       434710919      783622  434711389/0            7µs       0µs     69.79
583s       435457928      747009  435457928/0            9µs       0µs     69.79
584s       436095431      637503  436099610/0           23µs       0µs     69.77
585s       436742898      647467  436746025/0            8µs       0µs     69.76
586s       437466229      723331  437466957/0           14µs       0µs     69.76
587s       438031401      565172  438031474/0           20µs       0µs     69.73
588s       438722101      690700  438722101/0           15µs       0µs     69.72
589s       439419128      697027  439419128/0           15µs       0µs     69.71
590s       439963591      544463  439963591/0           20µs       0µs     69.68
591s       440643846      680255  440644516/0           13µs       0µs     69.67
592s       441354872      711026  441355136/0            8µs       0µs     69.67
593s       442103253      748381  442104049/0           12µs       0µs     69.67
594s       442802418      699165  442802804/0           22µs       0µs     69.67
595s       443465079      662661  443465085/0            7µs       0µs     69.65
596s       443964456      499377  443964738/0           52µs       0µs     69.62
597s       444499388      534932  444499634/0            8µs       0µs     69.58
598s       445146274      646886  445146533/0           13µs       0µs     69.57
599s       445839163      692889  445840787/0            9µs       0µs     69.56
600s       446375578      536415  446377706/0           10µs       0µs     69.53
601s       446809670      434092  446809687/0           43µs       0µs     69.48
602s       447265056      455386  447265274/0           10µs       0µs     69.44
603s       447952036      686980  447952148/0           11µs       0µs     69.43
604s       448645857      693821  448646040/0            8µs       0µs     69.43
605s       449379921      734064  449379921/0            8µs       0µs     69.42
606s       450013517      633596  450013717/0           26µs       0µs     69.41
607s       450460221      446704  450460221/0            7µs       0µs     69.36
608s       451156442      696221  451156610/0            9µs       0µs     69.36
609s       451853352      696910  451853352/0           12µs       0µs     69.35
610s       452531750      678398  452532077/0            9µs       0µs     69.34
611s       453185499      653749  453185622/0           10µs       0µs     69.33
612s       453915946      730447  453915946/0           11µs       0µs     69.33
613s       454557026      641080  454557250/0            9µs       0µs     69.32
614s       455329903      772877  455330237/0            8µs       0µs     69.32
615s       456044239      714336  456044282/0           10µs       0µs     69.32
616s       456622595      578356  456622640/0           29µs       0µs     69.30
617s       457206218      583623  457206796/0            7µs       0µs     69.27
618s       457920778      714560  457921018/0            8µs       0µs     69.27
619s       458505428      584650  458505948/0           10µs       0µs     69.25
620s       459109113      603685  459110349/0           13µs       0µs     69.23
621s       459815381      706268  459815701/0            6µs       0µs     69.22
622s       460480433      665052  460481131/0            6µs       0µs     69.21
623s       461198124      717691  461198929/0            8µs       0µs     69.21
624s       461880668      682544  461881394/0           11µs       0µs     69.20
625s       462625150      744482  462626051/0            6µs       0µs     69.20
626s       463202620      577470  463204215/0           32µs       0µs     69.18
627s       463725381      522761  463725378/0            9µs       0µs     69.15
628s       464399399      674018  464400171/0           24µs       0µs     69.14
629s       465057694      658295  465057854/0            9µs       0µs     69.13
630s       465724265      666571  465724927/0           12µs       0µs     69.12
631s       466351971      627706  466353597/0           21µs       0µs     69.10
632s       466996616      644645  466996804/0           24µs       0µs     69.09
633s       467815953      819337  467816007/0           14µs       0µs     69.10
634s       468426416      610463  468426630/0           17µs       0µs     69.09
635s       469162138      735722  469162546/0            8µs       0µs     69.09
636s       469799014      636876  469799163/0           26µs       0µs     69.07
637s       470290070      491056  470290462/0            7µs       0µs     69.04
638s       471051550      761480  471052082/0            8µs       0µs     69.04
639s       471718410      666860  471723227/0           15µs       0µs     69.03
640s       472430673      712263  472430754/0            7µs       0µs     69.03
641s       473217177      786504  473217721/0           10µs       0µs     69.04
642s       473878280      661103  473878589/0            8µs       0µs     69.03
643s       474629134      750854  474634717/0           11µs       0µs     69.03
644s       475361913      732779  475363461/0            7µs       0µs     69.03
645s       476110149      748236  476110473/0            7µs       0µs     69.03
646s       476796697      686548  476796697/0           15µs       0µs     69.03
647s       477297319      500622  477297629/0            9µs       0µs     68.99
648s       477952331      655012  477952476/0           17µs       0µs     68.98
649s       478639633      687302  478639688/0           12µs       0µs     68.97
650s       479392379      752746  479392581/0            9µs       0µs     68.98
651s       480150631      758252  480151557/0            6µs       0µs     68.98
652s       480819756      669125  480820059/0           11µs       0µs     68.97
653s       481530486      710730  481531057/0            7µs       0µs     68.97
654s       482268057      737571  482268056/0           10µs       0µs     68.97
655s       482976081      708024  482976769/0            8µs       0µs     68.97
656s       483594526      618445  483596051/0           14µs       0µs     68.95
657s       484047247      452721  484047376/0            8µs       0µs     68.91
658s       484683773      636526  484683927/0           11µs       0µs     68.90
659s       485314257      630484  485315400/0            9µs       0µs     68.88
660s       485871180      556923  485871248/0           20µs       0µs     68.86
661s       486355322      484142  486356023/0            8µs       0µs     68.82
662s       486906814      551492  486907337/0            7µs       0µs     68.80
663s       487645535      738721  487646036/0            9µs       0µs     68.80
664s       488357944      712409  488357944/0           32µs       0µs     68.80
665s       489082924      724980  489083256/0            4µs       0µs     68.80
666s       489803171      720247  489803235/0           14µs       0µs     68.80
667s       490367463      564292  490367991/0           23µs       0µs     68.77
668s       491078638      711175  491078820/0            8µs       0µs     68.77
669s       491866350      787712  491870960/0            7µs       0µs     68.78
670s       492612171      745821  492612415/0            9µs       0µs     68.78
671s       493329257      717086  493330209/0           10µs       0µs     68.78
672s       493936291      607034  493936549/0           14µs       0µs     68.76
673s       494603821      667530  494603905/0           14µs       0µs     68.75
674s       495424872      821051  495425122/0           14µs       0µs     68.77
675s       496174641      749769  496175108/0            5µs       0µs     68.77
676s       496922864      748223  496924048/0           17µs       0µs     68.77
677s       497470466      547602  497471217/0            9µs       0µs     68.75
678s       498166929      696463  498167356/0            6µs       0µs     68.74
679s       498799130      632201  498799116/0           18µs       0µs     68.73
680s       499531590      732460  499531590/0            8µs       0µs     68.73
681s       500359798      828208  500359971/0            8µs       0µs     68.74
682s       501073591      713793  501073979/0            7µs       0µs     68.74
683s       501739801      666210  501739801/0           11µs       0µs     68.73
684s       502339911      600110  502340139/0           12µs       0µs     68.72
685s       502892943      553032  502893416/0           16µs       0µs     68.69
686s       503574122      681179  503574259/0           19µs       0µs     68.69
687s       504321094      746972  504321267/0           13µs       0µs     68.69
688s       504945451      624357  504945572/0            4µs       0µs     68.67
689s       505836462      891011  505836625/0            4µs       0µs     68.70
690s       506754917      918455  506754965/0           11µs       0µs     68.72
691s       507713611      958694  507713775/0            6µs       0µs     68.75
692s       508553327      839716  508553605/0            7µs       0µs     68.77
693s       509340700      787373  509342594/0           13µs       0µs     68.78
694s       510001304      660604  510001456/0            5µs       0µs     68.77
695s       510894981      893677  510895052/0            6µs       0µs     68.79
696s       511774590      879609  511774590/0            8µs       0µs     68.81
697s       512399353      624763  512399569/0           13µs       0µs     68.80
698s       513181383      782030  513181584/0           21µs       0µs     68.80
699s       514008953      827570  514009154/0            6µs       0µs     68.82
700s       514917921      908968  514917921/0           10µs       0µs     68.84
701s       515821770      903849  515822109/0            6µs       0µs     68.87
702s       516759685      937915  516759790/0            8µs       0µs     68.89
703s       517726573      966888  517727246/0            7µs       0µs     68.93
704s       518565529      838956  518565519/0           18µs       0µs     68.94
705s       519497920      932391  519499100/0            6µs       0µs     68.97
706s       520494426      996506  520494419/0            5µs       0µs     69.00
707s       521280886      786460  521280886/0           14µs       0µs     69.01
708s       522283499     1002613  522283545/0            5µs       0µs     69.05
709s       523067177      783678  523067235/0            6µs       0µs     69.05
710s       523972765      905588  523973192/0            8µs       0µs     69.08
711s       524842335      869570  524842642/0            6µs       0µs     69.10
712s       525663503      821168  525663847/0            7µs       0µs     69.11
713s       526514476      850973  526514961/0            5µs       0µs     69.12
714s       527373025      858549  527373031/0            8µs       0µs     69.14
715s       528266464      893439  528266683/0            5µs       0µs     69.16
716s       529125892      859428  529127705/0           17µs       0µs     69.18
717s       529962595      836703  529962719/0            9µs       0µs     69.19
718s       530760876      798281  530761095/0            9µs       0µs     69.20
719s       531582161      821285  531582660/0            5µs       0µs     69.21
720s       532487532      905371  532487775/0            8µs       0µs     69.23
721s       533343527      855995  533345252/0            7µs       0µs     69.25
722s       534126482      782955  534126827/0            7µs       0µs     69.26
723s       535046076      919594  535046301/0            5µs       0µs     69.28
724s       535992788      946712  535993013/0            6µs       0µs     69.31
725s       536920366      927578  536921010/0            6µs       0µs     69.33
726s       537883418      963052  537889619/0           13µs       0µs     69.36
727s       538579644      696226  538581575/0            7µs       0µs     69.36
728s       539421168      841524  539422556/0            6µs       0µs     69.37
729s       540259174      838006  540259328/0           10µs       0µs     69.39
730s       541123710      864536  541124326/0            7µs       0µs     69.40
731s       541945254      821544  541945488/0            7µs       0µs     69.41
732s       542815165      869911  542817002/0            9µs       0µs     69.43
733s       543671036      855871  543671036/0            6µs       0µs     69.45
734s       544666187      995151  544666727/0            6µs       0µs     69.48
735s       545572154      905967  545573314/0            8µs       0µs     69.50
736s       546401472      829318  546401986/0            7µs       0µs     69.51
737s       547134156      732684  547134156/0            9µs       0µs     69.51
738s       547966434      832278  547966565/0            5µs       0µs     69.53
739s       548873522      907088  548873825/0            9µs       0µs     69.55
740s       549523749      650227  549524415/0           11µs       0µs     69.54
741s       550087586      563837  550087719/0           16µs       0µs     69.51
742s       550676978      589392  550677172/0            9µs       0µs     69.50
743s       551329725      652747  551329948/0            6µs       0µs     69.49
744s       552031941      702216  552031941/0            8µs       0µs     69.48
745s       552699649      667708  552699703/0           11µs       0µs     69.47
746s       553451811      752162  553452442/0            8µs       0µs     69.47
747s       554061757      609946  554062410/0           12µs       0µs     69.46
748s       554731185      669428  554732931/0           19µs       0µs     69.45
749s       555431288      700103  555432194/0           11µs       0µs     69.45
750s       556155301      724013  556155781/0            7µs       0µs     69.44
751s       556820774      665473  556820760/0           16µs       0µs     69.43
752s       557358251      537477  557358235/0            9µs       0µs     69.41
753s       558077836      719585  558078250/0           10µs       0µs     69.41
754s       558852317      774481  558852499/0            7µs       0µs     69.41
755s       559532749      680432  559533252/0            8µs       0µs     69.41
756s       560299350      766601  560300131/0           10µs       0µs     69.41
757s       560834525      535175  560834525/0           13µs       0µs     69.39
758s       561523869      689344  561524407/0           16µs       0µs     69.38
759s       562233822      709953  562234286/0            8µs       0µs     69.38
760s       562982318      748496  562983416/0            8µs       0µs     69.38
761s       563752269      769951  563752903/0           10µs       0µs     69.38
762s       564392198      639929  564392830/0           14µs       0µs     69.37
763s       565081683      689485  565082050/0            6µs       0µs     69.37
764s       565884441      802758  565885328/0            8µs       0µs     69.37
765s       566550491      666050  566550528/0           14µs       0µs     69.37
766s       567315412      764921  567315633/0           13µs       0µs     69.37
767s       567893970      578558  567894763/0           23µs       0µs     69.35
768s       568632677      738707  568633025/0            6µs       0µs     69.35
769s       569364817      732140  569365029/0           10µs       0µs     69.35
770s       570051860      687043  570052066/0           12µs       0µs     69.34
771s       570811101      759241  570811649/0            6µs       0µs     69.35
772s       571591501      780400  571591853/0            6µs       0µs     69.35
773s       572308244      716743  572308288/0           14µs       0µs     69.35
774s       573053862      745618  573053919/0           18µs       0µs     69.35
775s       573734852      680990  573734910/0           13µs       0µs     69.35
776s       574465919      731067  574465983/0            7µs       0µs     69.35
777s       574924843      458924  574927180/0           11µs       0µs     69.31
778s       575581207      656364  575581448/0           10µs       0µs     69.30
779s       576201014      619807  576201952/0           19µs       0µs     69.29
780s       576712710      511696  576712814/0           12µs       0µs     69.26
781s       577304760      592050  577304834/0            9µs       0µs     69.24
782s       577866980      562220  577867371/0           11µs       0µs     69.22
783s       578523215      656235  578523742/0           10µs       0µs     69.21
784s       579321099      797884  579321657/0           10µs       0µs     69.22
785s       580097435      776336  580097749/0            8µs       0µs     69.23
786s       580733680      636245  580733680/0           19µs       0µs     69.22
787s       581358475      624795  581363084/0           20µs       0µs     69.20
788s       582048172      689697  582048248/0            7µs       0µs     69.20
789s       582757074      708902  582757173/0            6µs       0µs     69.19
790s       583528015      770941  583528511/0            7µs       0µs     69.20
791s       584295533      767518  584295759/0            8µs       0µs     69.20
792s       585054496      758963  585054746/0            8µs       0µs     69.21
793s       585620994      566498  585625081/0           38µs       0µs     69.19
794s       586369617      748623  586370128/0            5µs       0µs     69.19
795s       587105356      735739  587105356/0            8µs       0µs     69.19
796s       587801203      695847  587801233/0            8µs       0µs     69.18
797s       588379091      577888  588379857/0           10µs       0µs     69.17
798s       589087617      708526  589087652/0            7µs       0µs     69.16
799s       589740225      652608  589740738/0           15µs       0µs     69.15
800s       590436633      696408  590437262/0            7µs       0µs     69.15
801s       591077389      640756  591077473/0           10µs       0µs     69.14
802s       591752148      674759  591752679/0           11µs       0µs     69.13
803s       592419270      667122  592420332/0           17µs       0µs     69.12
804s       593163744      744474  593164157/0            9µs       0µs     69.13
805s       593955229      791485  593955402/0            7µs       0µs     69.13
806s       594658349      703120  594658380/0            8µs       0µs     69.13
807s       595209615      551266  595211234/0           15µs       0µs     69.11
808s       595815796      606181  595815971/0           34µs       0µs     69.09
809s       596552087      736291  596552672/0            7µs       0µs     69.09
810s       597258188      706101  597258436/0            6µs       0µs     69.09
811s       598013810      755622  598014812/0            9µs       0µs     69.09
812s       598662713      648903  598662713/0           15µs       0µs     69.08
813s       599328646      665933  599328934/0           38µs       0µs     69.08
814s       600083302      754656  600083483/0            8µs       0µs     69.08
815s       600793427      710125  600794069/0            7µs       0µs     69.08
816s       601383567      590140  601383693/0            7µs       0µs     69.06
817s       601965531      581964  601966110/0           12µs       0µs     69.04
818s       602614734      649203  602614914/0           14µs       0µs     69.03
819s       603332055      717321  603333354/0            8µs       0µs     69.03
820s       604013634      681579  604013900/0            8µs       0µs     69.03
821s       604780974      767340  604781489/0           10µs       0µs     69.03
822s       605520272      739298  605520619/0            9µs       0µs     69.03
823s       606166195      645923  606167301/0           33µs       0µs     69.02
824s       606858566      692371  606858880/0            7µs       0µs     69.02
825s       607600604      742038  607601664/0            6µs       0µs     69.02
826s       608345475      744871  608345974/0           10µs       0µs     69.02
827s       608904245      558770  608904474/0           13µs       0µs     69.00
828s       609544122      639877  609544326/0            7µs       0µs     68.99
829s       610245082      700960  610245539/0            6µs       0µs     68.99
830s       610966829      721747  610968106/0           10µs       0µs     68.98
831s       611602277      635448  611602615/0           24µs       0µs     68.97
832s       612271924      669647  612272183/0            9µs       0µs     68.97
833s       612944510      672586  612944583/0            9µs       0µs     68.96
834s       613685796      741286  613686449/0            7µs       0µs     68.96
835s       614402290      716494  614402290/0           11µs       0µs     68.96
836s       615119683      717393  615120163/0            6µs       0µs     68.96
837s       615651973      532290  615652909/0           12µs       0µs     68.94
838s       616283073      631100  616283253/0           32µs       0µs     68.93
839s       616926436      643363  616926429/0           24µs       0µs     68.92
840s       617538046      611610  617539206/0           27µs       0µs     68.90
841s       618147493      609447  618147727/0            9µs       0µs     68.89
842s       618587491      439998  618588251/0           22µs       0µs     68.86
843s       619249206      661715  619250618/0            7µs       0µs     68.85
844s       620008182      758976  620008269/0            6µs       0µs     68.85
845s       620719374      711192  620720061/0           12µs       0µs     68.85
846s       621331163      611789  621331162/0           24µs       0µs     68.82
847s       621720695      389532  621720695/0           19µs       0µs     68.80
848s       622363189      642494  622364806/0           22µs       0µs     68.79
849s       623076645      713456  623077619/0            6µs       0µs     68.79
850s       623792868      716223  623793387/0            7µs       0µs     68.79
851s       624579906      787038  624580277/0            6µs       0µs     68.79
852s       625243679      663773  625243708/0           15µs       0µs     68.79
853s       625887412      643733  625887844/0           12µs       0µs     68.78
854s       626497480      610068  626497480/0           14µs       0µs     68.76
855s       627221452      723972  627221452/0            9µs       0µs     68.76
856s       627952005      730553  627951998/0           11µs       0µs     68.76
857s       628470237      518232  628470313/0           12µs       0µs     68.74
858s       629126535      656298  629129111/0            5µs       0µs     68.73
859s       630088172      961637  630088540/0            9µs       0µs     68.76
860s       630884617      796445  630884759/0            9µs       0µs     68.77
861s       631723555      838938  631723887/0           11µs       0µs     68.78
862s       632431364      707809  632431784/0           10µs       0µs     68.77
863s       633174542      743178  633175149/0            6µs       0µs     68.78
864s       633965596      791054  633965715/0            7µs       0µs     68.78
865s       634712995      747399  634712995/0            8µs       0µs     68.79
866s       635429385      716390  635429385/0           12µs       0µs     68.78
867s       635959928      530543  635960037/0           22µs       0µs     68.76
868s       636651250      691322  636651710/0            5µs       0µs     68.76
869s       637354158      702908  637354521/0            9µs       0µs     68.76
870s       638012485      658327  638012469/0           25µs       0µs     68.75
871s       638721276      708791  638721690/0           13µs       0µs     68.75
872s       639430315      709039  639430521/0            8µs       0µs     68.74
873s       640148844      718529  640149577/0            7µs       0µs     68.74
874s       640831474      682630  640832994/0           12µs       0µs     68.74
875s       641505919      674445  641506129/0           12µs       0µs     68.73
876s       642252540      746621  642253267/0            5µs       0µs     68.73
877s       642795274      542734  642795481/0           12µs       0µs     68.71
878s       643423373      628099  643423933/0            9µs       0µs     68.70
879s       643988702      565329  643988685/0           26µs       0µs     68.69
880s       644740413      751711  644741725/0            8µs       0µs     68.69
881s       645509480      769067  645510284/0           16µs       0µs     68.69
882s       646274467      764987  646274685/0            7µs       0µs     68.70
883s       646953970      679503  646954297/0           11µs       0µs     68.69
884s       647551808      597838  647552087/0            9µs       0µs     68.68
885s       648146578      594770  648147230/0            7µs       0µs     68.66
886s       648856819      710241  648856821/0            8µs       0µs     68.66
887s       649400513      543694  649400568/0           11µs       0µs     68.64
888s       650044463      643950  650044445/0            6µs       0µs     68.63
889s       650766860      722397  650767924/0           11µs       0µs     68.63
890s       651540600      773740  651540599/0            7µs       0µs     68.64
891s       652328524      787924  652329134/0            5µs       0µs     68.65
892s       652958174      629650  652958155/0           12µs       0µs     68.63
893s       653653737      695563  653654199/0            6µs       0µs     68.63
894s       654426502      772765  654426609/0            6µs       0µs     68.64
895s       655191666      765164  655191935/0           10µs       0µs     68.64
896s       655892719      701053  655892744/0           10µs       0µs     68.64
897s       656389413      496694  656389520/0           40µs       0µs     68.61
898s       657010062      620649  657010634/0           12µs       0µs     68.60
899s       657710834      700772  657710834/0           12µs       0µs     68.60
900s       658274795      563961  658275479/0            9µs       0µs     68.58
──────────────────────────────────────────────────────────────────────────────

╔══════════════════════════════════════════════════════════╗
║                    压测最终结果                           ║
╠══════════════════════════════════════════════════════════╣
║  总发送:     658281071                           ║
║  成功/失败:  658281071    / 0                       ║
║  平均 TPS:   526530                              ║
║  P50 延迟:   0s                                  ║
║  P99 延迟:   0s                                  ║
║  Avg 延迟:   9.357µs                             ║
║  总数据量:   61725.03   MB                        ║
║  平均吞吐:   49.37      MB/s                      ║
║  耗时:       20m50.227s                          ║
╚══════════════════════════════════════════════════════════╝
